invoice_id,city,customer_type,gender,product_line,unit_price,quantity,measure_date,measure_time,payment,rating,branch,tax_5_percent,total,cogs,gross_income,gross_margin_percentage
260-31-8269,Mandalay,Normal,Female,Health and beauty,68.69,20,2017-12-14,16:00:00,Credit card,9.6,B,68.69,1442.49,1054.78,319,23
914-17-8291,Mandalay,Member,Male,Sports and travel,19.17,15,2017-10-03,13:00:00,Credit card,4.6,B,14.3775,301.9275,193.01,94,32
120-74-1857,Mandalay,Member,Female,Electronic accessories,93.31,17,2017-02-08,19:00:00,Ewallet,6.5,B,79.3135,1665.5835,1362.43,NA,NA
705-28-5852,Yangon,Normal,Female,Food and beverages,16.52,6,2017-06-11,18:00:00,Credit card,9.8,A,4.956,104.076,58.49,40,40
299-24-3766,Yangon,Normal,Female,Home and lifestyle,43.9,6,2017-02-21,15:00:00,Ewallet,7.3,A,13.17,276.57,192.77,NA,NA
161-84-4404,Mandalay,Member,Male,Fashion accessories,15.03,13,2017-11-18,17:00:00,Cash,7.4,B,9.7695,205.1595,108.44,86,44
753-67-5002,Mandalay,Normal,Male,Fashion accessories,33.13,15,2017-06-21,15:00:00,Cash,4.5,B,24.8475,521.7975,446.98,49,10
785-83-3274,Mandalay,Member,Male,Food and beverages,46.89,14,2017-04-03,16:00:00,Ewallet,10,B,32.823,689.283,341.09,NA,NA
939-98-3304,Mandalay,Normal,Male,Sports and travel,28.44,10,2017-08-10,19:00:00,Cash,4.8,B,14.22,298.62,242.75,41,14
800-64-7670,Mandalay,Normal,Female,Health and beauty,92.22,3,2017-04-03,14:00:00,Ewallet,8.3,B,13.833,290.493,189.15,NA,NA
467-53-1103,Mandalay,Normal,Male,Health and beauty,21.72,19,2017-04-03,12:00:00,Cash,9.5,B,20.634,433.314,239.96,172,41
965-32-5502,Naypyitaw,Normal,Male,Sports and travel,89.55,13,2017-01-24,19:00:00,Ewallet,8.7,C,58.2075,1222.3575,652.65,NA,NA
561-49-3115,Yangon,Member,Male,Home and lifestyle,63.67,3,2017-03-13,18:00:00,Cash,7.4,A,9.5505,200.5605,104.9,86,45
900-94-7733,Naypyitaw,Member,Male,Food and beverages,69.21,16,2017-02-11,19:00:00,Credit card,9.1,C,55.368,1162.728,957.94,149,13
520-53-3624,Mandalay,Normal,Female,Home and lifestyle,49.86,7,2017-10-02,13:00:00,Credit card,7.2,B,17.451,366.471,201.39,147,42
460-44-5535,Yangon,Member,Male,Electronic accessories,12.58,35,2017-01-12,13:00:00,Ewallet,5.9,A,22.015,462.315,297.54,NA,NA
549-36-8719,Mandalay,Member,Female,Fashion accessories,47.84,5,2017-10-01,12:00:00,Ewallet,9.9,B,11.96,251.16,141.69,NA,NA
139-89-8898,Yangon,Normal,Male,Electronic accessories,68.82,50,2017-04-29,17:00:00,Ewallet,6.6,A,172.05,3613.05,1763.71,NA,NA
846-90-8413,Yangon,Normal,Female,Sports and travel,23.74,19,2017-03-18,13:00:00,Cash,4.8,A,22.553,473.613,246.29,204,45
661-20-3772,Naypyitaw,Normal,Female,Sports and travel,12.11,14,2017-05-21,15:00:00,Cash,5,C,8.477,178.017,145.75,23,14
328-18-9282,Naypyitaw,Member,Female,Health and beauty,70.05,6,2017-02-09,15:00:00,Credit card,7.1,C,21.015,441.315,336.05,84,20
878-51-8309,Mandalay,Normal,Male,Sports and travel,36.47,15,2017-11-12,19:00:00,Cash,8.9,B,27.3525,574.4025,425.35,121,22
421-24-4958,Yangon,Normal,Female,Home and lifestyle,47.86,9,2017-11-01,18:00:00,Ewallet,7.6,A,21.537,452.277,289.68,NA,NA
736-11-8894,Naypyitaw,Normal,Female,Home and lifestyle,91.66,19,2017-07-09,17:00:00,Ewallet,9.7,C,87.077,1828.617,1453.3,NA,NA
766-80-8972,Naypyitaw,Member,Male,Electronic accessories,54.72,14,2017-05-03,12:00:00,Ewallet,6.8,C,38.304,804.384,665.49,NA,NA
114-51-6451,Mandalay,Member,Male,Electronic accessories,75.59,3,2017-03-03,10:00:00,Credit card,7.2,B,11.3385,238.1085,175.31,51,22
404-79-7070,Naypyitaw,Normal,Male,Food and beverages,70.03,14,2017-06-23,12:00:00,Ewallet,5,C,49.021,1029.441,757.2,NA,NA
680-60-7937,Yangon,Normal,Male,Home and lifestyle,10.93,13,2017-07-02,14:00:00,Credit card,6.6,A,7.1045,149.1945,92.86,49,34
188-21-7800,Mandalay,Normal,Female,Fashion accessories,55.84,4,2017-11-04,15:00:00,Ewallet,4.3,B,11.168,234.528,197.27,NA,NA
987-63-7075,Yangon,Member,Female,Food and beverages,91.5,16,2017-02-17,12:00:00,Ewallet,4,A,73.2,1537.2,1194.2,NA,NA
157-44-3862,Mandalay,Normal,Female,Sports and travel,65.68,14,2017-01-04,16:00:00,Credit card,7.4,B,45.976,965.496,635.39,284,30
460-26-7611,Mandalay,Normal,Female,Home and lifestyle,66.01,18,2017-03-01,12:00:00,Credit card,6.3,B,59.409,1247.589,978.49,209,17
633-72-5772,Naypyitaw,Normal,Female,Food and beverages,10.35,20,2017-09-28,16:00:00,Cash,4.1,C,10.35,217.35,107.93,99,47
588-98-1022,Mandalay,Member,Male,Health and beauty,16.49,8,2017-05-06,15:00:00,Credit card,4.2,B,6.596,138.516,81.66,50,38
827-27-5910,Naypyitaw,Member,Female,Food and beverages,11.07,11,2017-03-08,13:00:00,Ewallet,5.7,C,6.0885,127.8585,70.25,NA,NA
411-98-9707,Yangon,Normal,Male,Electronic accessories,70.06,37,2017-08-14,18:00:00,Cash,8.7,A,129.611,2721.831,1789.32,802,30
263-69-5129,Yangon,Normal,Female,Health and beauty,22.56,12,2017-07-01,15:00:00,Ewallet,8.5,A,13.536,284.256,213.71,NA,NA
390-97-5920,Yangon,Normal,Female,Food and beverages,53.39,7,2017-11-08,13:00:00,Cash,6.3,A,18.6865,392.4165,314.2,59,15
383-48-6989,Mandalay,Member,Female,Fashion accessories,57.79,14,2017-01-04,10:00:00,Credit card,8.7,B,40.453,849.513,414.32,394,48
