invoice_id,city,customer_type,gender,product_line,unit_price,quantity,measure_date,measure_time,payment,rating,branch,tax,total,cogs,gross_income,gross_margin_percentage
418-92-9604,Naypyitaw,Normal,Female,Food and beverages,38.91,14,8/14/2018,19:00:00,Credit card,8.4,C,27.237,571.977,391.24,153,28
470-87-4979,Yangon,Member,Male,Electronic accessories,39.08,37,1/30/2018,14:00:00,Cash,9,A,72.298,1518.258,854.99,590,40
839-36-3296,Mandalay,Normal,Male,Food and beverages,79.05,8,11/18/2018,15:00:00,Credit card,8.2,B,31.62,664.02,461.97,170,26
973-27-2860,Naypyitaw,Member,Female,Food and beverages,75.67,14,11/25/2018,19:00:00,Ewallet,9.7,C,52.969,1112.349,899.14,NA,NA
521-41-4983,Yangon,Normal,Male,Electronic accessories,92.11,17,6/7/2018,15:00:00,Ewallet,7.4,A,78.2935,1644.1635,1283.19,NA,NA
847-61-5519,Mandalay,Member,Male,Fashion accessories,64.37,7,8/30/2018,15:00:00,Ewallet,8.9,B,22.5295,473.1195,382.84,NA,NA
237-63-1857,Mandalay,Normal,Male,Home and lifestyle,78.77,13,10/16/2018,15:00:00,Credit card,9.1,B,51.2005,1075.2105,536.65,487,47
612-89-9989,Yangon,Member,Male,Sports and travel,29.62,10,4/29/2018,19:00:00,Credit card,5.4,A,14.81,311.01,239.67,56,19
762-26-8165,Naypyitaw,Member,Male,Sports and travel,22.71,16,2/8/2018,14:00:00,Ewallet,8.8,C,18.168,381.528,229.83,NA,NA
938-69-6409,Mandalay,Member,Female,Electronic accessories,52.93,7,2/4/2018,17:00:00,Ewallet,9.5,B,18.5255,389.0355,209.25,NA,NA
941-61-9547,Naypyitaw,Member,Female,Sports and travel,97.71,7,7/12/2018,12:00:00,Cash,8.9,C,34.1985,718.1685,559.67,124,18
523-71-3730,Naypyitaw,Member,Male,Home and lifestyle,41.75,8,12/13/2018,10:00:00,Credit card,5.3,C,16.7,350.7,262.76,71,21
770-88-1188,Yangon,Member,Female,Home and lifestyle,64.72,13,10/23/2018,19:00:00,Cash,6.1,A,42.068,883.428,621.95,219,26
742-30-7272,Naypyitaw,Normal,Female,Fashion accessories,11.88,6,6/11/2018,13:00:00,Ewallet,5.6,C,3.564,74.844,51.82,NA,NA
916-85-3312,Yangon,Normal,Male,Food and beverages,66.2,8,8/8/2018,11:00:00,Ewallet,8.2,A,26.48,556.08,366.33,NA,NA
781-63-7265,Naypyitaw,Normal,Male,Electronic accessories,60.74,10,12/8/2018,14:00:00,Cash,7.9,C,30.37,637.77,507.32,100,16
811-31-7364,Mandalay,Member,Male,Sports and travel,48.17,16,4/16/2018,15:00:00,Credit card,6.8,B,38.536,809.256,542,228,29
702-17-2060,Yangon,Normal,Female,Health and beauty,92.68,14,8/5/2018,15:00:00,Credit card,7.5,A,64.876,1362.396,648.9,648,49
451-75-7742,Mandalay,Member,Female,Electronic accessories,27.66,9,6/15/2018,13:00:00,Ewallet,7.9,B,12.447,261.387,169.15,NA,NA
472-52-3542,Mandalay,Normal,Male,Electronic accessories,51.41,12,5/7/2018,13:00:00,Credit card,6.5,B,30.846,647.766,507.88,109,17
234-77-9956,Yangon,Member,Female,Fashion accessories,19.64,19,8/6/2018,13:00:00,Ewallet,9.9,A,18.658,391.818,207.07,NA,NA
993-33-6826,Yangon,Normal,Male,Sports and travel,72.56,19,7/15/2018,17:00:00,Cash,9.8,A,68.932,1447.572,843.23,535,38
155-71-4200,Yangon,Member,Male,Fashion accessories,73.36,14,7/15/2018,18:00:00,Ewallet,9.2,A,51.352,1078.392,652.64,NA,NA
