invoice_id,city,customer_type,gender,product_line,unit_price,quantity,measure_date,measure_time,payment,rating,branch,tax,total,cogs,gross_income,gross_margin_percentage
260-31-8269,Mandalay,Normal,Female,Health and beauty,68.69,20,12/14/2017,16:00:00,Credit card,9.6,B,68.69,1442.49,1054.78,319,23
914-17-8291,Mandalay,Member,Male,Sports and travel,19.17,15,10/3/2017,13:00:00,Credit card,4.6,B,14.3775,301.9275,193.01,94,32
120-74-1857,Mandalay,Member,Female,Electronic accessories,93.31,17,2/8/2017,19:00:00,Ewallet,6.5,B,79.3135,1665.5835,1362.43,0,0
705-28-5852,Yangon,Normal,Female,Food and beverages,16.52,6,6/11/2017,18:00:00,Credit card,9.8,A,4.956,104.076,58.49,40,40
299-24-3766,Yangon,Normal,Female,Home and lifestyle,43.9,6,2/21/2017,15:00:00,Ewallet,7.3,A,13.17,276.57,192.77,0,0
161-84-4404,Mandalay,Member,Male,Fashion accessories,15.03,13,11/18/2017,17:00:00,Cash,7.4,B,9.7695,205.1595,108.44,86,44
753-67-5002,Mandalay,Normal,Male,Fashion accessories,33.13,15,6/21/2017,15:00:00,Cash,4.5,B,24.8475,521.7975,446.98,49,10
785-83-3274,Mandalay,Member,Male,Food and beverages,46.89,14,4/3/2017,16:00:00,Ewallet,10,B,32.823,689.283,341.09,0,0
939-98-3304,Mandalay,Normal,Male,Sports and travel,28.44,10,8/10/2017,19:00:00,Cash,4.8,B,14.22,298.62,242.75,41,14
800-64-7670,Mandalay,Normal,Female,Health and beauty,92.22,3,4/3/2017,14:00:00,Ewallet,8.3,B,13.833,290.493,189.15,0,0
467-53-1103,Mandalay,Normal,Male,Health and beauty,21.72,19,4/3/2017,12:00:00,Cash,9.5,B,20.634,433.314,239.96,172,41
965-32-5502,Naypyitaw,Normal,Male,Sports and travel,89.55,13,1/24/2017,19:00:00,Ewallet,8.7,C,58.2075,1222.3575,652.65,0,0
561-49-3115,Yangon,Member,Male,Home and lifestyle,63.67,3,3/13/2017,18:00:00,Cash,7.4,A,9.5505,200.5605,104.9,86,45
900-94-7733,Naypyitaw,Member,Male,Food and beverages,69.21,16,2/11/2017,19:00:00,Credit card,9.1,C,55.368,1162.728,957.94,149,13
520-53-3624,Mandalay,Normal,Female,Home and lifestyle,49.86,7,10/2/2017,13:00:00,Credit card,7.2,B,17.451,366.471,201.39,147,42
460-44-5535,Yangon,Member,Male,Electronic accessories,12.58,35,1/12/2017,13:00:00,Ewallet,5.9,A,22.015,462.315,297.54,0,0
549-36-8719,Mandalay,Member,Female,Fashion accessories,47.84,5,10/1/2017,12:00:00,Ewallet,9.9,B,11.96,251.16,141.69,0,0
139-89-8898,Yangon,Normal,Male,Electronic accessories,68.82,50,4/29/2017,17:00:00,Ewallet,6.6,A,172.05,3613.05,1763.71,0,0
846-90-8413,Yangon,Normal,Female,Sports and travel,23.74,19,3/18/2017,13:00:00,Cash,4.8,A,22.553,473.613,246.29,204,45
661-20-3772,Naypyitaw,Normal,Female,Sports and travel,12.11,14,5/21/2017,15:00:00,Cash,5,C,8.477,178.017,145.75,23,14
328-18-9282,Naypyitaw,Member,Female,Health and beauty,70.05,6,2/9/2017,15:00:00,Credit card,7.1,C,21.015,441.315,336.05,84,20
