APU0000708111,CHAR_DATE
0.879,01/01/1980
0.774,02/01/1980
0.812,03/01/1980
0.797,04/01/1980
0.737,05/01/1980
0.731,06/01/1980
0.776,07/01/1980
0.907,08/01/1980
0.898,09/01/1980
0.867,10/01/1980
0.917,11/01/1980
1.031,12/01/1980
0.943,01/01/1981
0.924,02/01/1981
0.875,03/01/1981
0.904,04/01/1981
0.836,05/01/1981
0.852,06/01/1981
0.86,07/01/1981
0.868,08/01/1981
0.915,09/01/1981
0.898,10/01/1981
0.943,11/01/1981
0.966,12/01/1981
0.925,01/01/1982
1.007,02/01/1982
0.952,03/01/1982
0.896,04/01/1982
0.842,05/01/1982
0.783,06/01/1982
0.851,07/01/1982
0.778,08/01/1982
0.852,09/01/1982
0.854,10/01/1982
0.849,11/01/1982
0.813,12/01/1982
0.821,01/01/1983
0.794,02/01/1983
0.836,03/01/1983
0.825,04/01/1983
0.865,05/01/1983
0.825,06/01/1983
0.847,07/01/1983
0.884,08/01/1983
0.938,09/01/1983
0.962,10/01/1983
0.996,11/01/1983
1.131,12/01/1983
1.301,01/01/1984
1.324,02/01/1984
1.153,03/01/1984
1.199,04/01/1984
1.054,05/01/1984
0.903,06/01/1984
0.876,07/01/1984
0.86,08/01/1984
0.854,09/01/1984
0.842,10/01/1984
0.823,11/01/1984
0.867,12/01/1984
0.746,01/01/1985
0.784,02/01/1985
0.79,03/01/1985
0.783,04/01/1985
0.745,05/01/1985
0.724,06/01/1985
0.787,07/01/1985
0.789,08/01/1985
0.857,09/01/1985
0.86,10/01/1985
0.872,11/01/1985
0.906,12/01/1985
0.901,01/01/1986
0.866,02/01/1986
0.887,03/01/1986
0.89,04/01/1986
0.82,05/01/1986
0.795,06/01/1986
0.833,07/01/1986
0.913,08/01/1986
0.868,09/01/1986
0.855,10/01/1986
0.897,11/01/1986
0.91,12/01/1986
0.862,01/01/1987
0.823,02/01/1987
0.8,03/01/1987
0.786,04/01/1987
0.763,05/01/1987
0.711,06/01/1987
0.763,07/01/1987
0.73,08/01/1987
0.837,09/01/1987
0.778,10/01/1987
0.805,11/01/1987
0.733,12/01/1987
0.76,01/01/1988
0.718,02/01/1988
0.74,03/01/1988
0.719,04/01/1988
0.678,05/01/1988
0.705,06/01/1988
0.803,07/01/1988
0.909,08/01/1988
0.874,09/01/1988
0.896,10/01/1988
0.839,11/01/1988
0.833,12/01/1988
0.941,01/01/1989
0.89,02/01/1989
1.031,03/01/1989
0.997,04/01/1989
0.956,05/01/1989
0.937,06/01/1989
0.961,07/01/1989
0.983,08/01/1989
1.038,09/01/1989
1.023,10/01/1989
1.08,11/01/1989
1.137,12/01/1989
1.223,01/01/1990
1.041,02/01/1990
1.111,03/01/1990
1.092,04/01/1990
0.94,05/01/1990
0.93,06/01/1990
0.899,07/01/1990
0.954,08/01/1990
0.946,09/01/1990
1.012,10/01/1990
1.018,11/01/1990
1.001,12/01/1990
1.106,01/01/1991
0.987,02/01/1991
1.069,03/01/1991
1.002,04/01/1991
0.908,05/01/1991
0.884,06/01/1991
0.966,07/01/1991
1.024,08/01/1991
0.987,09/01/1991
0.976,10/01/1991
0.95,11/01/1991
1.012,12/01/1991
0.933,01/01/1992
0.881,02/01/1992
0.85,03/01/1992
0.829,04/01/1992
0.836,05/01/1992
0.801,06/01/1992
0.827,07/01/1992
0.809,08/01/1992
0.873,09/01/1992
0.858,10/01/1992
0.897,11/01/1992
0.928,12/01/1992
0.898,01/01/1993
0.895,02/01/1993
0.927,03/01/1993
0.997,04/01/1993
0.895,05/01/1993
0.921,06/01/1993
0.9,07/01/1993
0.929,08/01/1993
0.89,09/01/1993
0.897,10/01/1993
0.917,11/01/1993
0.871,12/01/1993
0.917,01/01/1994
0.903,02/01/1994
0.926,03/01/1994
0.861,04/01/1994
0.801,05/01/1994
0.841,06/01/1994
0.815,07/01/1994
0.895,08/01/1994
0.855,09/01/1994
0.81,10/01/1994
0.857,11/01/1994
0.873,12/01/1994
0.882,01/01/1995
0.863,02/01/1995
0.875,03/01/1995
0.833,04/01/1995
0.819,05/01/1995
0.825,06/01/1995
0.879,07/01/1995
0.984,08/01/1995
0.956,09/01/1995
0.981,10/01/1995
1.037,11/01/1995
1.16,12/01/1995
1.155,01/01/1996
1.091,02/01/1996
1.138,03/01/1996
1.086,04/01/1996
1.021,05/01/1996
0.945,06/01/1996
1.042,07/01/1996
1.072,08/01/1996
1.15,09/01/1996
1.129,10/01/1996
1.139,11/01/1996
1.308,12/01/1996
1.148,01/01/1997
1.132,02/01/1997
1.056,03/01/1997
1.081,04/01/1997
1.002,05/01/1997
0.952,06/01/1997
0.979,07/01/1997
1.061,08/01/1997
1.009,09/01/1997
1.018,10/01/1997
1.09,11/01/1997
1.172,12/01/1997
1.12,01/01/1998
1.073,02/01/1998
1.043,03/01/1998
1.061,04/01/1998
0.96,05/01/1998
0.932,06/01/1998
0.971,07/01/1998
1.053,08/01/1998
1.022,09/01/1998
1.048,10/01/1998
1.077,11/01/1998
1.089,12/01/1998
1.053,01/01/1999
1.078,02/01/1999
1.005,03/01/1999
0.942,04/01/1999
0.9,05/01/1999
0.949,06/01/1999
0.88,07/01/1999
1.02,08/01/1999
0.956,09/01/1999
0.888,10/01/1999
0.92,11/01/1999
0.92,12/01/1999
0.975,01/01/2000
0.962,02/01/2000
0.931,03/01/2000
0.939,04/01/2000
0.852,05/01/2000
0.838,06/01/2000
0.868,07/01/2000
0.893,08/01/2000
0.92,09/01/2000
0.923,10/01/2000
0.902,11/01/2000
0.959,12/01/2000
1.011,01/01/2001
0.943,02/01/2001
0.886,03/01/2001
1.028,04/01/2001
0.881,05/01/2001
0.92,06/01/2001
0.862,07/01/2001
0.929,08/01/2001
0.916,09/01/2001
0.916,10/01/2001
0.935,11/01/2001
0.925,12/01/2001
0.973,01/01/2002
0.996,02/01/2002
1.003,03/01/2002
1.047,04/01/2002
0.997,05/01/2002
0.975,06/01/2002
0.99,07/01/2002
1.053,08/01/2002
1.055,09/01/2002
1.039,10/01/2002
1.08,11/01/2002
1.176,12/01/2002
1.175,01/01/2003
1.189,02/01/2003
1.209,03/01/2003
1.131,04/01/2003
1.009,05/01/2003
1.199,06/01/2003
1.15,07/01/2003
1.277,08/01/2003
1.257,09/01/2003
1.33,10/01/2003
1.448,11/01/2003
1.559,12/01/2003
1.573,01/01/2004
1.583,02/01/2004
1.625,03/01/2004
1.562,04/01/2004
1.372,05/01/2004
1.311,06/01/2004
1.253,07/01/2004
1.277,08/01/2004
1.145,09/01/2004
1.089,10/01/2004
1.085,11/01/2004
1.199,12/01/2004
1.211,01/01/2005
1.284,02/01/2005
1.132,03/01/2005
1.164,04/01/2005
1.185,05/01/2005
1.139,06/01/2005
1.165,07/01/2005
1.166,08/01/2005
1.279,09/01/2005
1.264,10/01/2005
1.279,11/01/2005
1.35,12/01/2005
1.449,01/01/2006
1.328,02/01/2006
1.302,03/01/2006
1.283,04/01/2006
1.206,05/01/2006
1.242,06/01/2006
1.213,07/01/2006
1.244,08/01/2006
1.254,09/01/2006
1.257,10/01/2006
1.354,11/01/2006
1.543,12/01/2006
1.549,01/01/2007
1.746,02/01/2007
1.634,03/01/2007
1.616,04/01/2007
1.504,05/01/2007
1.373,06/01/2007
1.502,07/01/2007
1.634,08/01/2007
1.825,09/01/2007
1.771,10/01/2007
1.862,11/01/2007
2.099,12/01/2007
2.175,01/01/2008
2.168,02/01/2008
2.203,03/01/2008
2.069,04/01/2008
1.93,05/01/2008
1.92,06/01/2008
2.011,07/01/2008
1.854,08/01/2008
1.978,09/01/2008
1.858,10/01/2008
1.838,11/01/2008
1.834,12/01/2008
1.85,01/01/2009
1.795,02/01/2009
1.693,03/01/2009
1.774,04/01/2009
1.501,05/01/2009
1.529,06/01/2009
1.495,07/01/2009
1.632,08/01/2009
1.627,09/01/2009
1.595,10/01/2009
1.705,11/01/2009
1.772,12/01/2009
1.789,01/01/2010
1.872,02/01/2010
1.822,03/01/2010
1.779,04/01/2010
1.523,05/01/2010
1.494,06/01/2010
1.441,07/01/2010
1.519,08/01/2010
1.753,09/01/2010
1.456,10/01/2010
1.675,11/01/2010
1.793,12/01/2010
1.806,01/01/2011
1.708,02/01/2011
1.732,03/01/2011
1.727,04/01/2011
1.692,05/01/2011
1.683,06/01/2011
1.647,07/01/2011
1.711,08/01/2011
1.947,09/01/2011
1.871,10/01/2011
1.836,11/01/2011
1.874,12/01/2011
1.939,01/01/2012
1.798,02/01/2012
1.774,03/01/2012
1.829,04/01/2012
1.691,05/01/2012
1.67,06/01/2012
1.648,07/01/2012
1.884,08/01/2012
1.889,09/01/2012
1.96,10/01/2012
1.963,11/01/2012
2.007,12/01/2012
1.933,01/01/2013
1.965,02/01/2013
1.925,03/01/2013
1.918,04/01/2013
1.87,05/01/2013
1.859,06/01/2013
1.833,07/01/2013
1.838,08/01/2013
1.897,09/01/2013
1.925,10/01/2013
1.925,11/01/2013
2.026,12/01/2013
2.008,01/01/2014
1.998,02/01/2014
2.061,03/01/2014
2.119,04/01/2014
1.996,05/01/2014
1.948,06/01/2014
1.95,07/01/2014
1.979,08/01/2014
1.97,09/01/2014
1.951,10/01/2014
2.032,11/01/2014
2.21,12/01/2014
2.113,01/01/2015
2.088,02/01/2015
2.133,03/01/2015
2.065,04/01/2015
1.962,05/01/2015
2.57,06/01/2015
2.57,07/01/2015
2.943,08/01/2015
2.966,09/01/2015
2.808,10/01/2015
2.664,11/01/2015
2.751,12/01/2015
2.328,01/01/2016
2.267,02/01/2016
2.081,03/01/2016
1.793,04/01/2016
1.684,05/01/2016
1.491,06/01/2016
1.546,07/01/2016
1.455,08/01/2016
1.471,09/01/2016
1.39,10/01/2016
1.321,11/01/2016
1.383,12/01/2016
1.599,01/01/2017
1.464,02/01/2017
1.404,03/01/2017
1.409,04/01/2017
1.414,05/01/2017
1.332,06/01/2017
1.333,07/01/2017
1.367,08/01/2017
1.422,09/01/2017
1.54,10/01/2017
1.506,11/01/2017
1.815,12/01/2017
1.769,01/01/2018
1.755,02/01/2018
1.831,03/01/2018
2.081,04/01/2018
1.987,05/01/2018
1.628,06/01/2018
1.725,07/01/2018
1.622,08/01/2018
1.651,09/01/2018
1.66,10/01/2018
1.596,11/01/2018
1.595,12/01/2018
1.554,01/01/2019
1.557,02/01/2019
1.544,03/01/2019
1.463,04/01/2019
1.362,05/01/2019
1.203,06/01/2019
1.243,07/01/2019
1.219,08/01/2019
1.383,09/01/2019
1.282,10/01/2019
1.405,11/01/2019
1.535,12/01/2019
1.461,01/01/2020
1.449,02/01/2020
1.525,03/01/2020
2.019,04/01/2020
1.64,05/01/2020
1.554,06/01/2020
1.401,07/01/2020
1.328,08/01/2020
1.353,09/01/2020
1.408,10/01/2020
1.45,11/01/2020
1.481,12/01/2020
1.466,01/01/2021
1.597,02/01/2021
1.625,03/01/2021
1.62,04/01/2021
1.625,05/01/2021
1.642,06/01/2021
1.642,07/01/2021
1.709,08/01/2021
1.835,09/01/2021
1.821,10/01/2021
1.718,11/01/2021
1.788,12/01/2021
1.929,01/01/2022
2.005,02/01/2022
2.046,03/01/2022
2.52,04/01/2022
2.863,05/01/2022
2.707,06/01/2022
2.936,07/01/2022
3.116,08/01/2022
2.902,09/01/2022
3.419,10/01/2022
3.589,11/01/2022
4.25,12/01/2022
4.823,01/01/2023
