date,price,lower,upper
1980 Jan,91.5,NA,NA
1980 Feb,77.5,NA,NA
1980 Mar,65.9,NA,NA
1980 Apr,65.5,NA,NA
1980 May,74.2,NA,NA
1980 Jun,81.6,NA,NA
1980 Jul,106.3,NA,NA
1980 Aug,87.8,NA,NA
1980 Sep,96.4,NA,NA
1980 Oct,95.8,NA,NA
1980 Nov,123.6,NA,NA
1980 Dec,133.5,NA,NA
1981 Jan,105.1,NA,NA
1981 Feb,108.8,NA,NA
1981 Mar,94.6,NA,NA
1981 Apr,84.1,NA,NA
1981 May,103.9,NA,NA
1981 Jun,118.7,NA,NA
1981 Jul,106.3,NA,NA
1981 Aug,111.9,NA,NA
1981 Sep,92.1,NA,NA
1981 Oct,95.2,NA,NA
1981 Nov,96.4,NA,NA
1981 Dec,116.2,NA,NA
1982 Jan,103.9,NA,NA
1982 Feb,131.1,NA,NA
1982 Mar,118.1,NA,NA
1982 Apr,121.2,NA,NA
1982 May,106.3,NA,NA
1982 Jun,91.5,NA,NA
1982 Jul,94,NA,NA
1982 Aug,86.6,NA,NA
1982 Sep,79.1,NA,NA
1982 Oct,77.9,NA,NA
1982 Nov,71.7,NA,NA
1982 Dec,118.7,NA,NA
1983 Jan,101.4,NA,NA
1983 Feb,111.3,NA,NA
1983 Mar,93.1,NA,NA
1983 Apr,89,NA,NA
1983 May,80.4,NA,NA
1983 Jun,86.6,NA,NA
1983 Jul,128.6,NA,NA
1983 Aug,118.7,NA,NA
1983 Sep,95.8,NA,NA
1983 Oct,102.6,NA,NA
1983 Nov,95.8,NA,NA
1983 Dec,128.6,NA,NA
1984 Jan,119.9,NA,NA
1984 Feb,163.2,NA,NA
1984 Mar,113.8,NA,NA
1984 Apr,131.1,NA,NA
1984 May,95.2,NA,NA
1984 Jun,98.9,NA,NA
1984 Jul,108.8,NA,NA
1984 Aug,101.4,NA,NA
1984 Sep,85.3,NA,NA
1984 Oct,79.1,NA,NA
1984 Nov,79.1,NA,NA
1984 Dec,80.4,NA,NA
1985 Jan,84.1,NA,NA
1985 Feb,97.7,NA,NA
1985 Mar,95.2,NA,NA
1985 Apr,82.4,NA,NA
1985 May,80.4,NA,NA
1985 Jun,89,NA,NA
1985 Jul,94,NA,NA
1985 Aug,97.7,NA,NA
1985 Sep,89,NA,NA
1985 Oct,90.3,NA,NA
1985 Nov,94,NA,NA
1985 Dec,108.8,NA,NA
1986 Jan,116.2,NA,NA
1986 Feb,96.4,NA,NA
1986 Mar,94,NA,NA
1986 Apr,91.5,NA,NA
1986 May,94,NA,NA
1986 Jun,106.3,NA,NA
1986 Jul,103.9,NA,NA
1986 Aug,112.5,NA,NA
1986 Sep,94,NA,NA
1986 Oct,112.1,NA,NA
1986 Nov,128.6,NA,NA
1986 Dec,111.3,NA,NA
1987 Jan,111.3,NA,NA
1987 Feb,98.9,NA,NA
1987 Mar,89,NA,NA
1987 Apr,92.7,NA,NA
1987 May,98.9,NA,NA
1987 Jun,97.7,NA,NA
1987 Jul,94,NA,NA
1987 Aug,80.4,NA,NA
1987 Sep,80.4,NA,NA
1987 Oct,79.1,NA,NA
1987 Nov,77.9,NA,NA
1987 Dec,106.3,NA,NA
1988 Jan,118.7,NA,NA
1988 Feb,88.2,NA,NA
1988 Mar,98.9,NA,NA
1988 Apr,89,NA,NA
1988 May,98.9,NA,NA
1988 Jun,106.3,NA,NA
1988 Jul,118.7,NA,NA
1988 Aug,128.6,NA,NA
1988 Sep,118.7,NA,NA
1988 Oct,97.7,NA,NA
1988 Nov,92.7,NA,NA
1988 Dec,92.7,NA,NA
1989 Jan,89,NA,NA
1989 Feb,94,NA,NA
1989 Mar,91.5,NA,NA
1989 Apr,116.2,NA,NA
1989 May,116.2,NA,NA
1989 Jun,133.5,NA,NA
1989 Jul,98.9,NA,NA
1989 Aug,96.4,NA,NA
1989 Sep,85.7,NA,NA
1989 Oct,94,NA,NA
1989 Nov,78.3,NA,NA
1989 Dec,79.1,NA,NA
1990 Jan,101.4,NA,NA
1990 Feb,96.4,NA,NA
1990 Mar,111.3,NA,NA
1990 Apr,108.8,NA,NA
1990 May,92.7,NA,NA
1990 Jun,87.8,NA,NA
1990 Jul,102.6,NA,NA
1990 Aug,79.1,NA,NA
1990 Sep,88.2,NA,NA
1990 Oct,80.8,NA,NA
1990 Nov,89,NA,NA
1990 Dec,128.6,NA,NA
1991 Jan,148.4,NA,NA
1991 Feb,129.8,NA,NA
1991 Mar,105.1,NA,NA
1991 Apr,132.7,NA,NA
1991 May,104.7,NA,NA
1991 Jun,111.3,NA,NA
1991 Jul,108.8,NA,NA
1991 Aug,106.3,NA,NA
1991 Sep,94,NA,NA
