symbol,date,price
WPU01130212,1980-01-01,91.5
WPU01130212,1980-02-01,77.5
WPU01130212,1980-03-01,65.9
WPU01130212,1980-04-01,65.5
WPU01130212,1980-05-01,74.2
WPU01130212,1980-06-01,81.6
WPU01130212,1980-07-01,106.3
WPU01130212,1980-08-01,87.8
WPU01130212,1980-09-01,96.4
WPU01130212,1980-10-01,95.8
WPU01130212,1980-11-01,123.6
WPU01130212,1980-12-01,133.5
WPU01130212,1981-01-01,105.1
WPU01130212,1981-02-01,108.8
WPU01130212,1981-03-01,94.6
WPU01130212,1981-04-01,84.1
WPU01130212,1981-05-01,103.9
WPU01130212,1981-06-01,118.7
WPU01130212,1981-07-01,106.3
WPU01130212,1981-08-01,111.9
WPU01130212,1981-09-01,92.1
WPU01130212,1981-10-01,95.2
WPU01130212,1981-11-01,96.4
WPU01130212,1981-12-01,116.2
WPU01130212,1982-01-01,103.9
WPU01130212,1982-02-01,131.1
WPU01130212,1982-03-01,118.1
WPU01130212,1982-04-01,121.2
WPU01130212,1982-05-01,106.3
WPU01130212,1982-06-01,91.5
WPU01130212,1982-07-01,94
WPU01130212,1982-08-01,86.6
WPU01130212,1982-09-01,79.1
WPU01130212,1982-10-01,77.9
WPU01130212,1982-11-01,71.7
WPU01130212,1982-12-01,118.7
WPU01130212,1983-01-01,101.4
WPU01130212,1983-02-01,111.3
WPU01130212,1983-03-01,93.1
WPU01130212,1983-04-01,89
WPU01130212,1983-05-01,80.4
WPU01130212,1983-06-01,86.6
WPU01130212,1983-07-01,128.6
WPU01130212,1983-08-01,118.7
WPU01130212,1983-09-01,95.8
WPU01130212,1983-10-01,102.6
WPU01130212,1983-11-01,95.8
WPU01130212,1983-12-01,128.6
WPU01130212,1984-01-01,119.9
WPU01130212,1984-02-01,163.2
WPU01130212,1984-03-01,113.8
WPU01130212,1984-04-01,131.1
WPU01130212,1984-05-01,95.2
WPU01130212,1984-06-01,98.9
WPU01130212,1984-07-01,108.8
WPU01130212,1984-08-01,101.4
WPU01130212,1984-09-01,85.3
WPU01130212,1984-10-01,79.1
WPU01130212,1984-11-01,79.1
WPU01130212,1984-12-01,80.4
WPU01130212,1985-01-01,84.1
WPU01130212,1985-02-01,97.7
WPU01130212,1985-03-01,95.2
WPU01130212,1985-04-01,82.4
WPU01130212,1985-05-01,80.4
WPU01130212,1985-06-01,89
WPU01130212,1985-07-01,94
WPU01130212,1985-08-01,97.7
WPU01130212,1985-09-01,89
WPU01130212,1985-10-01,90.3
WPU01130212,1985-11-01,94
WPU01130212,1985-12-01,108.8
WPU01130212,1986-01-01,116.2
WPU01130212,1986-02-01,96.4
WPU01130212,1986-03-01,94
WPU01130212,1986-04-01,91.5
WPU01130212,1986-05-01,94
WPU01130212,1986-06-01,106.3
WPU01130212,1986-07-01,103.9
WPU01130212,1986-08-01,112.5
WPU01130212,1986-09-01,94
WPU01130212,1986-10-01,112.1
WPU01130212,1986-11-01,128.6
WPU01130212,1986-12-01,111.3
WPU01130212,1987-01-01,111.3
WPU01130212,1987-02-01,98.9
WPU01130212,1987-03-01,89
WPU01130212,1987-04-01,92.7
WPU01130212,1987-05-01,98.9
WPU01130212,1987-06-01,97.7
WPU01130212,1987-07-01,94
WPU01130212,1987-08-01,80.4
WPU01130212,1987-09-01,80.4
WPU01130212,1987-10-01,79.1
