rent,hhincome,foodstmp,state_fip,county_fip,pernum
0,9999999,0,04,04001,1
0,25700,1,04,04001,2
0,43400,0,04,04001,3
900,32600,1,04,04001,4
0,65700,0,04,04001,5
0,9999999,0,04,04001,6
0,9999999,0,04,04001,7
0,99000,0,04,04001,8
0,9999999,0,04,04001,9
0,9999999,0,04,04001,10
0,61000,0,04,04001,11
0,2700,1,04,04001,12
400,9999999,0,04,04001,13
0,9999999,0,04,04001,14
0,6800,1,04,04001,15
300,17900,0,04,04001,16
350,8000,0,04,04001,17
190,10500,1,04,04001,18
0,12600,1,04,04001,19
0,3800,1,04,04001,20
0,149400,1,04,04001,21
0,103000,0,04,04001,22
0,9999999,0,04,04001,23
0,82400,0,04,04001,24
0,9999999,0,04,04001,25
0,9999999,0,04,04001,26
0,9999999,0,04,04001,27
0,9999999,0,04,04001,28
0,9999999,0,04,04001,29
500,20000,0,04,04001,30
0,0,1,04,04001,31
0,9999999,0,04,04001,32
0,9700,0,04,04001,33
0,55800,0,04,04001,34
0,115000,0,04,04001,35
470,71000,0,04,04001,36
0,16520,1,04,04001,37
0,9999999,0,04,04001,38
900,58000,0,04,04001,39
0,130000,0,04,04001,40
0,9999999,0,04,04001,41
0,20000,0,04,04001,42
0,96000,0,04,04001,43
0,9999999,0,04,04001,44
0,173500,0,04,04001,45
0,4300,0,04,04001,46
0,44900,0,04,04001,47
0,9999999,0,04,04001,48
0,72000,0,04,04001,49
0,60000,0,04,04001,50
0,12200,0,04,04001,51
550,63000,0,04,04001,52
0,21600,0,04,04001,53
0,7000,0,04,04001,54
0,9999999,0,04,04001,55
0,9999999,0,04,04001,56
0,49100,0,04,04001,57
0,9999999,0,04,04001,58
0,9999999,0,04,04001,59
0,69600,1,04,04001,60
0,9999999,0,04,04001,61
0,9999999,0,04,04001,62
0,9999999,0,04,04001,63
0,22000,0,04,04001,64
0,59000,0,04,04001,65
0,9999999,0,04,04001,66
0,64800,0,04,04001,67
0,58800,1,04,04001,68
0,9999999,0,04,04001,69
0,501100,0,04,04001,70
0,9999999,0,04,04001,71
