placekey,raw_visitor_counts,distance_from_home,median_dwell,cluster,location_name,top_category,sub_category,latitude,longitude,city,region,pred_sub_category
22b-222@8ts-d5x-vzz,5.459585514144159,7.979338895262328,2.6390573296152584,1,El Bronco Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.465443,-112.19558,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
225-222@5zb-xjy-4qf,3.091042453358316,10.091666918814242,2.0794415416798357,2,ampm,Grocery Stores,Convenience Stores,33.582523,-111.92537,Scottsdale,AZ,Convenience Stores
22b-222@5zb-xcx-t35,4.983606621708336,9.207937487359873,2.302585092994046,2,Circle K,Grocery Stores,Convenience Stores,33.45076,-112.10387,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-224@8th-mtv-5zz,6.016157159698354,10.712103982902187,2.70805020110221,2,Bashas' Supermarkets,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,34.242283,-111.32091,Payson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
226-222@8ts-zgj-pvz,4.330733340286331,8.702344075220351,3.332204510175204,3,Sunshine Convenience Mart,Grocery Stores,Convenience Stores,33.421722,-111.88337,Tempe,AZ,Convenience Stores
zzw-222@8ts-z9z-ks5,5.978885764901122,8.481151420068972,2.0794415416798357,1,7-Eleven,Grocery Stores,Convenience Stores,33.336277,-111.75484,Gilbert,AZ,Convenience Stores
zzw-224@5zb-t2h-nnq,6.714170529909472,8.519789817263504,2.833213344056216,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,34.554207,-112.48229,Prescott,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5zb-wth-8gk,5.493061443340548,9.608579434992608,2.0794415416798357,2,Circle K,Grocery Stores,Convenience Stores,33.669514,-112.08341,Phoenix,AZ,Convenience Stores
222-222@8ts-zdj-zzz,7.4413203897176174,8.144969417087875,2.302585092994046,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.290958,-111.71976,Gilbert,AZ,Supermarkets and Other Grocery (except Convenience) Stores
224-222@8ts-3ps-brk,4.5217885770490405,8.808219665118408,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,32.192692,-110.87457,Tucson,AZ,Convenience Stores
222-222@8ts-d78-9vf,5.241747015059643,8.00469951054955,2.302585092994046,1,Food City Arizona,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.431068,-112.34572,Avondale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
225-222@8ts-3pr-cdv,5.153291594497779,8.703506769479729,2.833213344056216,1,Moan's Oriental Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.198067,-110.87568,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@8ts-zcv-gx5,4.8283137373023015,8.9082888855571,2.0794415416798357,2,Circle K,Grocery Stores,Convenience Stores,33.292686,-111.78875,Gilbert,AZ,Convenience Stores
zzw-223@5zb-wwg-6kz,6.395261598115449,8.157370441186774,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,33.599236,-111.98978,Phoenix,AZ,Convenience Stores
zzw-222@8ts-ydb-dy9,4.787491742782046,9.23863624113103,2.0794415416798357,2,Pinal Food Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.031776,-111.38774,Florence,AZ,Convenience Stores
222-225@8ts-zc5-cdv,3.5553480614894135,9.266058860732526,1.9459101490553132,2,Fast Market,Grocery Stores,Convenience Stores,33.320843000000004,-111.72211,Gilbert,AZ,Convenience Stores
zzy-222@8th-73z-xqz,3.2188758248682006,9.3729692954244,1.6094379124341003,2,Mustang Conoco Gasoline & Convenience Store,Grocery Stores,Convenience Stores,34.152103,-109.97369,Pinetop-Lakeside,AZ,Convenience Stores
224-222@5zb-xdt-jy9,3.828641396489095,9.915169057309965,3.4339872044851463,3,Desert Drinks And Exotics,Grocery Stores,Convenience Stores,33.465549,-112.04388,Phoenix,AZ,Convenience Stores
226-224@8ts-zrs-sdv,6.651571873589727,8.09376775793108,3.044522437723423,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.450291,-111.70288,Mesa,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5zb-xfy-s89,4.672828834461906,9.127719343287845,1.791759469228055,2,4 Sons Food Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.638283,-112.32436,Surprise,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-22d@5zb-xnt-249,5.771441123130016,8.552174160311482,2.6390573296152584,1,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.510628,-111.91059,Scottsdale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@8ts-zbg-zj9,4.30406509320417,8.845921233304018,2.4849066497880004,2,M & R Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.392498,-111.82246,Mesa,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-224@8tt-7xq-yjv,2.6390573296152584,9.493261127326253,3.295836866004329,3,Brownie Brokerage,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,31.452061,-110.97401,Rio Rico,AZ,Supermarkets and Other Grocery (except Convenience) Stores
224-222@8ts-6wg-s5z,3.970291913552122,9.067393362656249,1.9459101490553132,2,Circle K,Grocery Stores,Convenience Stores,31.899586,-110.99449,Green Valley,AZ,Convenience Stores
223-222@5zb-xj8-nqz,3.295836866004329,8.936298185228436,3.7727609380946383,3,Denmark Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.5639,-112.22512,Peoria,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzy-222@8ts-3md-t9z,3.4011973816621555,9.500020447090638,3.1570004211501135,3,Flora's Market Run,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.228153,-110.93402,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
22f-222@8ts-zhy-ks5,4.127134385045092,8.938925271988273,2.0794415416798357,2,Jz Market,Grocery Stores,Convenience Stores,33.378155,-111.89083,Mesa,AZ,Convenience Stores
22c-222@8ts-zbm-bff,5.1647859739235145,7.5251007461258,1.791759469228055,1,Circle K,Grocery Stores,Convenience Stores,33.393047,-111.81383,Mesa,AZ,Convenience Stores
222-222@8ts-ckg-5cq,6.194405391104672,9.292012520620208,2.9444389791664403,2,Food City Arizona,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.880688,-111.73642,Casa Grande,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-224@8sc-r8p-nbk,4.955827057601261,8.082402253926244,2.5649493574615367,1,Del Sol,Grocery Stores,Convenience Stores,32.721802,-114.62491,Yuma,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-223@8ts-zfn-n3q,6.803505257608338,8.21959545417708,2.9444389791664403,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.394028,-111.94123,Tempe,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-223@8ts-zyg-54v,3.2188758248682006,7.583756300707112,2.995732273553991,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.32185,-111.87482,Chandler,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzy-222@8ts-zfh-r8v,2.6390573296152584,8.152774052744075,2.3978952727983707,1,Limited Too,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.429836,-111.90649,Tempe,AZ,Supermarkets and Other Grocery (except Convenience) Stores
226-222@8ts-zfw-yjv,4.634728988229636,7.524021415206125,2.302585092994046,1,Mr J's Market,Grocery Stores,Convenience Stores,33.46611,-112.01255,Phoenix,AZ,Convenience Stores
225-224@8ts-3mb-9j9,6.075346031088684,8.927314111060596,2.0794415416798357,2,Corner Store,Grocery Stores,Convenience Stores,32.206467,-110.95574,Tucson,AZ,Convenience Stores
zzy-227@5z9-dbq-psq,2.1972245773362196,10.278733974060291,2.0794415416798357,2,The Mineshaft Market,Grocery Stores,Convenience Stores,35.414211,-114.19869,Chloride,AZ,Convenience Stores
zzw-222@5zb-xbp-p7q,3.6375861597263857,9.112948025967533,2.70805020110221,3,New Tokyo Food Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.552761,-112.13323,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@8ts-zk2-cnq,6.39024066706535,8.418256443556213,1.791759469228055,1,Circle K,Grocery Stores,Convenience Stores,33.393883,-111.59755,Mesa,AZ,Convenience Stores
223-222@5zb-x66-99f,5.8289456176102075,9.169101623959586,2.70805020110221,2,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.675747,-111.88817,Scottsdale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-229@8ts-zgv-wtv,5.293304824724492,8.54752839121231,2.9444389791664403,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.495762,-111.91606,Scottsdale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
236-222@8ts-zgv-qxq,4.976733742420574,8.849083518532339,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,33.488037,-111.90947,Scottsdale,AZ,Convenience Stores
222-222@8ts-d5m-psq,4.74493212836325,9.64510534912921,2.0794415416798357,2,4 Sons Food Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.460274,-112.34023,Avondale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
