placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,raw_visit_counts,raw_visitor_counts,distance_from_home,median_dwell,device_type,year,month
222-223@8ts-zcc-kmk,Dollar Tree,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.395027,-111.75539,3516 E Southern Ave,Mesa,AZ,85204,122,105,2693,11,"{""android"":90,""ios"":25}",2021,9
225-223@8ts-ckh-6hq,Big Lots Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,32.877537,-111.73016,1346 E Florence Blvd,Casa Grande,AZ,85122,34,27,3254,11,"{""android"":20,""ios"":5}",2021,9
22b-222@8ts-d5x-vzz,El Bronco Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.465443,-112.19558,6305 W McDowell Rd,Phoenix,AZ,85035,463,235,2920,14,"{""android"":133,""ios"":101}",2021,9
225-222@5zb-xjy-4qf,ampm,Grocery Stores,Convenience Stores,445120,33.582523,-111.92537,10601 N Scottsdale Rd,Scottsdale,AZ,85254,22,22,24141,8,"{""android"":11,""ios"":8}",2021,9
zzy-224@8td-bbz-ckf,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.055473,-109.31013,540 Chase Creek Street,Clifton,AZ,85533,273,125,2626,9,"{""android"":69,""ios"":53}",2021,9
zzw-222@8ts-zxp-ct9,Five Below,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.318691,-111.98354,4619 E Ray Rd Ste E3,Phoenix,AZ,85044,64,58,10397,13,"{""android"":34,""ios"":16}",2021,9
22b-222@5zb-xcx-t35,Circle K,Grocery Stores,Convenience Stores,445120,33.45076,-112.10387,2041 W Van Buren St,Phoenix,AZ,85009,274,146,9976,10,"{""android"":86,""ios"":56}",2021,9
zzw-224@8th-mtv-5zz,Bashas' Supermarkets,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,34.242283,-111.32091,142 E State Highway 260,Payson,AZ,85541,567,410,44896,15,"{""android"":267,""ios"":142}",2021,9
226-222@8ts-zgj-pvz,Sunshine Convenience Mart,Grocery Stores,Convenience Stores,445120,33.421722,-111.88337,2531 E University Dr,Tempe,AZ,85281,144,76,6017,28,"{""android"":43,""ios"":33}",2021,9
zzw-222@5zb-xhh-g6k,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.494946,-112.29195,10720 W Indian School Rd Ste 48,Phoenix,AZ,85037,142,107,2090,13.5,"{""android"":71,""ios"":38}",2021,9
