"","geoid","stores","pop","flag","name","year"
"1","04001",21,71171.90754,TRUE,"Apache","2020"
"2","04003",95,120368.05822,FALSE,"Cochise","2020"
"3","04005",89,144491.12539,TRUE,"Coconino","2020"
"4","04007",35,51895.37616,TRUE,"Gila","2020"
"5","04009",19,38173.99154,TRUE,"Graham","2020"
"6","04011",7,10894.14502,TRUE,"Greenlee","2020"
"7","04012",24,19291.81726,TRUE,"La Paz","2020"
"8","04013",2110,4579893.08356,TRUE,"Maricopa","2020"
"9","04015",130,207125.23212,FALSE,"Mohave","2020"
"10","04017",62,107593.34632,TRUE,"Navajo","2020"
"11","04019",561,1039240.92047,FALSE,"Pima","2020"
"12","04021",148,424411.50571,TRUE,"Pinal","2020"
"13","04023",122,45187.52322,FALSE,"Santa Cruz","2020"
"14","04025",148,231677.07078,FALSE,"Yavapai","2020"
"15","04027",129,208593.57415,TRUE,"Yuma","2020"
"16","04001",70.3866315836875,61903.85829,TRUE,"Apache","2050"
"17","04003",59.7973193470793,79805.11179,FALSE,"Cochise","2050"
"18","04005",91.8920181676038,181081.95319,TRUE,"Coconino","2050"
"19","04007",45.4110152205442,41040.74471,TRUE,"Gila","2050"
"20","04009",37.438239116695,41005.21577,TRUE,"Graham","2050"
"21","04011",17.1575331547902,20407.31529,TRUE,"Greenlee","2050"
"22","04012",42.4957358053764,16327.66309,TRUE,"La Paz","2050"
"23","04013",3184.14371777661,6872376.50098,TRUE,"Maricopa","2050"
"24","04015",113.984896561631,196810.41719,FALSE,"Mohave","2050"
"25","04017",68.4679587446578,88849.62676,TRUE,"Navajo","2050"
"26","04019",547.967227601161,1149778.34515,FALSE,"Pima","2050"
"27","04021",212.385763081312,444125.95875,TRUE,"Pinal","2050"
"28","04023",56.7016269846055,34224.487,FALSE,"Santa Cruz","2050"
"29","04025",134.532608693167,264736.14887,FALSE,"Yavapai","2050"
"30","04027",135.911678170772,220276.27905,TRUE,"Yuma","2050"
