STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geoid,ssp12020,ssp22020,ssp32020,ssp42020,ssp52020,ssp12025,ssp22025,ssp32025,ssp42025,ssp52025,ssp12030,ssp22030,ssp32030,ssp42030,ssp52030,ssp12035,ssp22035,ssp32035,ssp42035,ssp52035,ssp12040,ssp22040,ssp32040,ssp42040,ssp52040,ssp12045,ssp22045,ssp32045,ssp42045,ssp52045,ssp12050,ssp22050,ssp32050,ssp42050,ssp52050,ssp12055,ssp22055,ssp32055,ssp42055,ssp52055,ssp12060,ssp22060,ssp32060,ssp42060,ssp52060,ssp12065,ssp22065,ssp32065,ssp42065,ssp52065,ssp12070,ssp22070,ssp32070,ssp42070,ssp52070,ssp12075,ssp22075,ssp32075,ssp42075,ssp52075,ssp12080,ssp22080,ssp32080,ssp42080,ssp52080,ssp12085,ssp22085,ssp32085,ssp42085,ssp52085,ssp12090,ssp22090,ssp32090,ssp42090,ssp52090,ssp12095,ssp22095,ssp32095,ssp42095,ssp52095,ssp12100,ssp22100,ssp32100,ssp42100,ssp52100
02,013,01419964,02013,Aleutians East,Aleutians East Borough,04,H1,G4020,,,,A,18083148800.00000000000,20792209033.00000000000,+55.2437223,-161.9507485,02013,3774.19615,3765.43874,3701.07999,3753.08450,3831.38348,4325.18618,4306.77962,4161.49188,4282.81492,4453.06695,4851.09261,4818.53009,4570.68488,4778.48181,5066.68834,5262.56312,5211.76667,4840.95161,5148.36183,5585.36462,5591.28306,5522.23115,5004.82316,5420.58881,6050.90556,5897.34766,5810.94271,5125.68148,5657.73105,6518.77733,6152.27620,6050.72024,5182.92500,5830.31968,6957.02629,6378.04105,6266.31495,5205.85725,5967.38150,7390.45349,6634.91962,6513.27934,5236.79099,6121.45532,7890.40434,6799.55923,6673.19389,5169.97871,6169.03713,8322.09732,6924.49105,6793.72271,5056.04731,6164.40066,8732.60063,7041.75947,6900.82672,4930.64193,6143.62436,9139.77347,7137.20429,6985.28975,4794.77733,6099.95214,9527.31201,7108.77125,6964.91128,4596.21293,5951.83342,9786.33665,7063.69979,6927.92146,4391.73875,5783.82179,10043.31647,6973.55666,6864.56147,4176.96379,5589.43152,10261.20459,6882.76843,6817.44442,3978.00628,5409.11115,10487.70335
02,016,01419965,02016,Aleutians West,Aleutians West Census Area,05,H5,G4020,,,,S,11370762625.00000000000,25190643524.00000000000,+51.9594469,+178.3388130,02016,6445.23447,6434.11080,6317.43778,6407.19250,6553.96779,7222.37952,7202.03504,6934.11903,7142.81707,7472.09723,8095.10763,8060.49323,7591.93885,7950.46317,8529.02046,8987.62365,8929.77699,8214.03290,8751.02086,9650.27964,9875.14149,9788.89525,8765.16663,9508.57635,10838.93261,10770.08082,10654.96544,9264.05472,10239.93084,12110.56455,11624.14461,11483.80873,9660.87446,10891.91593,13429.41854,12529.27764,12367.70500,10048.01690,11559.77356,14893.17706,13371.96146,13197.78389,10339.33405,12141.73373,16374.29165,14212.16245,14028.05384,10580.56628,12680.74556,17940.15036,15036.33660,14838.25469,10761.59091,13164.39560,19565.35389,15827.38762,15604.74745,10876.66304,13577.82007,21227.24045,16535.97369,16295.60043,10911.89362,13891.55241,22867.06791,17093.24462,16867.14247,10855.34061,14066.03236,24407.65892,17637.42105,17437.95822,10792.21236,14219.32921,25997.35114,18145.87708,18013.96592,10729.91295,14361.52743,27606.20759,18600.96221,18578.18758,10647.53974,14472.85646,29216.13320
28,107,00695776,28107,Panola,Panola County,06,H1,G4020,,,,A,1774515519.00000000000,51767046.00000000000,+34.3652052,-089.9630654,28107,33683.86443,33593.24773,32886.98172,33366.82345,34322.44322,32791.65108,32644.84797,31281.86413,32228.87598,34028.81801,31672.99067,31476.56123,29402.22479,30816.87009,33558.86340,30470.65186,30220.21867,27498.75330,29346.26296,32959.11124,29194.86578,28894.21907,25592.40039,27814.13547,32270.05517,27830.82240,27501.01001,23687.42493,26216.46407,31489.67596,26437.74806,26108.12172,21827.97062,24607.02214,30695.62995,25091.48820,24790.54085,20080.49546,23069.71002,29942.55125,23739.55410,23487.58785,18404.79039,21555.13252,29145.78692,22332.58039,22130.45782,16770.45445,20013.69349,28195.70617,20858.69829,20710.56980,15171.84234,18434.51913,27095.44744,19386.96324,19291.82980,13658.80081,16877.17799,25930.74266,17908.92586,17879.46654,12220.91796,15344.95707,24707.44851,16500.08623,16544.09986,10904.09139,13906.43502,23507.14111,15141.39525,15254.58501,9677.16518,12537.72008,22298.26531,13811.06778,13993.95310,8535.62984,11225.42065,21047.15859,12544.64465,12787.02749,7508.47994,10006.37201,19764.66007
28,101,00695773,28101,Newton,Newton County,06,H1,G4020,,,,A,1497282694.00000000000,3879399.00000000000,+32.4019702,-089.1184115,28101,21646.29697,21582.09135,21134.69676,21440.65005,22044.04119,21433.94962,21329.08163,20451.12326,21059.94180,22221.43033,21134.66234,20990.42950,19599.82581,20537.11303,22389.96536,20808.39531,20614.32609,18716.98692,19987.50001,22529.12801,20437.29915,20187.57922,17805.83900,19388.28477,22627.20281,19981.07426,19681.27094,16839.21878,18699.39248,22658.47512,19548.45435,19212.06748,15920.96123,18031.85477,22758.95803,19075.26021,18723.78063,14993.96849,17330.14976,22851.80087,18511.32659,18171.50703,14034.24466,16557.31835,22861.96839,17924.90151,17608.20421,13107.66649,15779.40423,22819.39852,17338.90335,17042.10567,12225.16531,15012.27610,22737.58293,16700.70479,16424.11820,11352.60826,14205.51948,22566.94335,15975.54743,15742.54964,10482.73777,13348.25469,22276.72002,15354.35503,15191.80056,9755.62799,12632.24187,22080.48504,14537.01945,14443.04288,8904.01960,11731.48505,21638.68448,13729.36114,13714.79901,8103.78968,10864.71396,21172.94228,12925.69201,13006.44388,7372.83840,10042.61966,20651.50332
28,027,00695738,28027,Coahoma,Coahoma County,06,H1,G4020,,17260,,A,1430818231.00000000000,79539470.00000000000,+34.2286699,-090.6031650,28027,22936.05055,22879.79671,22386.59690,22713.61254,23389.00054,21245.86382,21157.95057,20264.76919,20875.34136,22065.05075,19554.59630,19441.76317,18147.16805,19014.38440,20742.22892,17931.87333,17792.75030,16172.60048,17253.46144,19425.59345,16409.91922,16247.80852,14365.32291,15611.63408,18174.89534,14968.73371,14797.60497,12709.87548,14071.59706,16980.98472,13652.10445,13486.15930,11235.27218,12673.77859,15898.17742,12489.80704,12340.77786,9954.89448,11446.37648,14954.63911,11429.80754,11306.88957,8812.59810,10332.56599,14096.89076,10455.76221,10361.41895,7793.00046,9313.65237,13294.94655,9571.27839,9510.37954,6895.99205,8393.85906,12565.73109,8805.65174,8776.88430,6130.83296,7592.98673,11949.65139,8135.04953,8141.90916,5471.74728,6890.18953,11431.32795,7583.65855,7627.95196,4928.61838,6305.23863,11045.38480,7122.56629,7203.22738,4467.21016,5805.71800,10766.24787,6725.61374,6844.73919,4069.66634,5368.64986,10565.12452,6412.89164,6568.44069,3748.70114,5012.87077,10456.72403
22,065,00558088,22065,Madison,Madison Parish,15,H1,G4020,,45260,,A,1617283455.00000000000,68538668.00000000000,+32.3658243,-091.2407290,22065,11328.59415,11300.33111,11057.36009,11225.75529,11550.72066,10942.49142,10899.13688,10432.20725,10762.89507,11372.69647,10521.45535,10468.08222,9766.01402,10251.32535,11172.18438,10103.95250,10042.81607,9122.99663,9745.20060,10970.92240,9740.86000,9680.01290,8537.94510,9284.54978,10858.60581,9370.02416,9321.52448,7959.92349,8817.65870,10763.25107,9015.59410,8989.76258,7411.29320,8365.00870,10695.98955,8716.93317,8719.19911,6925.90775,7969.61699,10691.30842,8446.22830,8477.80618,6488.63014,7609.30304,10711.71245,8166.48159,8221.97545,6072.12919,7248.03596,10690.58265,7909.24225,7984.96324,5685.89669,6903.75581,10691.36688,7645.55508,7738.89259,5304.88445,6550.35612,10684.26795,7357.71800,7472.17369,4929.63786,6184.48577,10643.25449,7079.83931,7218.48225,4584.17145,5836.74580,10600.84999,6813.77141,6974.90414,4262.47952,5505.17249,10559.94189,6559.65395,6743.54478,3965.70399,5189.98269,10524.81374,6325.41145,6530.78655,3701.50560,4900.79412,10498.60175
51,540,01789068,51540,Charlottesville,Charlottesville city,25,C7,G4020,,16820,,F,26517362.00000000000,52974.00000000000,+38.0376579,-078.4853806,51540,50087.28659,50011.56254,48996.00727,49696.88189,51053.92726,53936.08234,53815.90096,51744.47510,53180.90161,55908.89583,58055.81302,57856.55998,54424.70431,56746.02595,61295.18655,61218.80342,60905.71650,55734.51496,59108.06322,66143.57565,64431.57948,63932.91671,56829.82153,61437.91714,71208.81624,67632.49798,66898.97779,57534.96525,63550.04821,76614.96441,70677.68499,69675.57183,57827.35555,65318.08030,82172.20994,73611.44755,72257.39764,58021.30899,66997.46559,87662.47710,76346.07189,74610.12328,57852.46519,68319.67993,93232.56520,78280.79545,76159.93209,56857.33691,68709.19005,98217.40172,79249.08959,76797.03010,55077.57104,68109.97871,102369.17840,79741.50704,77017.81774,53094.13136,67081.60434,106070.64663,81834.04213,79057.30634,52637.45601,67809.51661,111616.77907,83200.98689,80445.50912,51695.03440,67893.26738,116391.45687,84184.61623,81508.41635,50532.79195,67640.75865,120791.30221,84434.87874,82052.98864,48980.99070,66859.31654,124450.37933,83898.72522,82077.65028,47058.83086,65558.39644,127267.71903
51,510,01498415,51510,Alexandria,Alexandria city,25,C7,G4020,548,47900,47894,F,38919733.00000000000,1140371.00000000000,+38.8183429,-077.0820263,51510,170517.64741,170216.60797,166321.56838,169041.35132,174221.06887,185466.92217,184914.27724,176876.77415,182621.50447,193042.30562,200235.57135,199305.56348,186184.06201,195409.10625,212442.18114,215314.06136,213717.12401,195140.14531,208222.49203,232441.99558,230555.11734,228099.40343,203083.05814,220472.20288,253821.59918,246169.01474,242813.58145,209986.82974,232321.36977,277380.95541,261360.96611,257104.98859,215050.45564,242938.53835,302389.50925,275758.55634,270659.31703,218282.50932,252165.28764,328055.49088,289525.39375,283532.51270,220267.54483,260317.92609,354111.52780,301648.46158,294659.14667,220561.39478,266443.70282,379088.69046,311772.17706,303790.88815,219143.41052,270283.13335,402722.06116,323020.91184,313937.13773,218314.95282,274684.00731,428640.41834,333793.70532,324070.56415,217134.45706,278644.43640,455174.07062,342843.72928,333172.62878,214925.56499,281255.12737,480710.90176,350065.22052,341019.20459,211748.94745,282440.30461,504733.93634,354823.35394,347312.94888,207454.16347,282007.16057,526342.17709,356557.74086,351604.43665,201826.05122,279554.32933,544852.09573
51,530,01498417,51530,Buena Vista,Buena Vista city,25,C7,G4020,,,,F,17362236.00000000000,223855.00000000000,+37.7316634,-079.3563746,51530,6531.79143,6511.56223,6387.97888,6474.92849,6638.93459,6486.85597,6454.08562,6211.05038,6383.12055,6700.33222,6437.98802,6394.93212,5994.75368,6263.80329,6797.80178,6386.29675,6333.51714,5753.27379,6130.04783,6922.37499,6329.91972,6271.28507,5503.95272,5987.93680,7061.45786,6262.83359,6205.41343,5244.01323,5828.41302,7214.80078,6215.57534,6166.01634,5015.56780,5689.49959,7407.52555,6164.25016,6132.53523,4807.76783,5556.83285,7608.40091,6141.13052,6136.56376,4634.72491,5452.77244,7858.92321,6122.20115,6142.00445,4465.21366,5346.63329,8120.16916,6182.62830,6220.47140,4357.12132,5309.98946,8473.58151,6228.50330,6286.68921,4245.99338,5259.72268,8819.90279,6304.57971,6383.09591,4162.63477,5239.25871,9204.10651,6336.11768,6425.38659,4037.04659,5166.77125,9541.01876,6275.71950,6382.85474,3856.27099,5010.95394,9781.18324,6191.83054,6324.49062,3674.85969,4840.79093,9997.70258,6125.88318,6282.25650,3512.90445,4690.53324,10227.59619
51,600,01789070,51600,Fairfax,Fairfax city,25,C7,G4020,548,47900,47894,F,16159465.00000000000,95054.00000000000,+38.8531833,-077.2990252,51600,24862.52504,24771.49739,24250.24943,24618.09838,25309.38428,25791.81373,25614.51118,24559.10181,25322.08090,26689.56105,26654.34580,26369.34939,24659.30067,25879.18979,28093.19069,27455.64007,27029.56658,24602.57426,26321.68247,29491.20815,28279.53135,27692.49007,24473.83907,26730.52189,31012.93815,29042.42528,28284.62295,24200.69620,27016.34534,32601.00784,29677.80902,28756.44663,23752.03952,27121.91435,34194.61304,30264.13316,29213.19563,23259.80886,27171.85142,35852.16444,30897.23934,29743.35168,22812.62605,27258.52034,37655.04143,31457.94542,30210.52724,22314.50445,27260.17823,39426.14767,32086.79813,30733.05812,21855.79730,27288.22413,41326.72801,32662.01739,31201.19220,21360.23168,27238.49681,43240.14330,33291.64615,31778.60983,20950.27299,27272.12233,45281.22984,33553.72971,32072.47688,20334.53273,27010.05775,46975.15029,33734.77857,32361.94727,19751.85712,26735.57068,48606.17167,33769.45716,32605.88383,19145.43167,26412.91565,50092.08140,33292.05949,32455.43501,18272.66124,25695.48861,51033.53729
48,113,01383842,48113,Dallas,Dallas County,06,H1,G4020,206,19100,19124,A,2256602704.00000000000,96696353.00000000000,+32.7669866,-096.7784238,48113,2776576.02203,2772252.18890,2709549.39624,2750710.26801,2836902.31818,2987212.26062,2979839.48621,2846244.37781,2935832.54639,3115465.25610,3203444.96252,3191822.80127,2968057.52051,3115366.43896,3416453.57739,3426826.10669,3406781.52881,3083035.88550,3295531.16138,3733531.58496,3651985.63110,3619611.15625,3183490.35474,3467187.90845,4068475.40234,3873376.01904,3827210.30396,3264523.56006,3625413.51147,4421809.17334,4086260.81738,4026914.93457,3321651.39990,3764883.17432,4792921.83691,4292991.62891,4223111.50708,3361590.47437,3891957.30688,5180853.73096,4494667.60962,4415909.87988,3388748.49365,4008839.76538,5582347.64941,4693260.28076,4605200.03076,3408342.61572,4117271.38086,5992102.96631,4888126.26855,4787735.34375,3418328.51758,4214435.03809,6409073.52930,5073423.78027,4957073.09668,3413053.99902,4293170.03174,6830226.10938,5229620.20508,5103207.95801,3385245.81226,4343333.68652,7236006.28857,5354093.04785,5228505.85352,3339095.33667,4367824.26001,7621495.41504,5455425.70532,5340739.22314,3282903.55054,4375916.02124,7991578.05957,5522491.99707,5433440.90820,3213053.09229,4362748.66699,8329967.68970,5556961.84387,5508724.78497,3132961.95319,4331415.93335,8636488.02814
