county,name,median_rent_201216,median_hhold_income_of_residents,statefips
01001,"Autauga County, AL",849.5,53379,01
01003,"Baldwin County, AL",893.2,51355,01
01005,"Barbour County, AL",589.3,32702,01
01007,"Bibb County, AL",649.4,39350,01
01009,"Blount County, AL",646.8,45784,01
01011,"Bullock County, AL",536.8,30915,01
01013,"Butler County, AL",549.1,33603,01
01015,"Calhoun County, AL",654.7,41945,01
01017,"Chambers County, AL",630.8,34618,01
01019,"Cherokee County, AL",606.1,38310,01
01021,"Chilton County, AL",654.2,42070,01
01023,"Choctaw County, AL",511,33128,01
01025,"Clarke County, AL",589,32579,01
01027,"Clay County, AL",462,38052,01
01029,"Cleburne County, AL",595.4,34983,01
01031,"Coffee County, AL",777.1,48124,01
01033,"Colbert County, AL",654.1,44079,01
01035,"Conecuh County, AL",507.1,26841,01
01037,"Coosa County, AL",530.2,32062,01
01039,"Covington County, AL",581.6,37959,01
01041,"Crenshaw County, AL",522.8,36940,01
01043,"Cullman County, AL",630.2,39508,01
01045,"Dale County, AL",664.2,43808,01
01047,"Dallas County, AL",614.8,29460,01
01049,"DeKalb County, AL",591,37690,01
01051,"Elmore County, AL",866,52680,01
01053,"Escambia County, AL",576.4,33596,01
01055,"Etowah County, AL",640.7,42111,01
01057,"Fayette County, AL",476.8,37141,01
01059,"Franklin County, AL",550.1,35501,01
01061,"Geneva County, AL",555.1,36693,01
01063,"Greene County, AL",442,21770,01
01065,"Hale County, AL",636.9,33924,01
01067,"Henry County, AL",588.2,41346,01
01069,"Houston County, AL",706.8,43259,01
01071,"Jackson County, AL",591.9,37919,01
01073,"Jefferson County, AL",895.5,53017,01
01075,"Lamar County, AL",440.1,33849,01
01077,"Lauderdale County, AL",634.3,44543,01
01079,"Lawrence County, AL",584.4,41618,01
01081,"Lee County, AL",824.1,46456,01
01083,"Limestone County, AL",729.3,52383,01
01085,"Lowndes County, AL",546.5,29294,01
01087,"Macon County, AL",582.7,31528,01
01089,"Madison County, AL",950.1,64994,01
01091,"Marengo County, AL",534.3,31116,01
01093,"Marion County, AL",481.1,34421,01
01095,"Marshall County, AL",616.5,39499,01
01097,"Mobile County, AL",844.2,45304,01
01099,"Monroe County, AL",557.4,29378,01
01101,"Montgomery County, AL",866.6,47511,01
01103,"Morgan County, AL",642.9,46749,01
01105,"Perry County, AL",531.3,22915,01
01107,"Pickens County, AL",420.9,31944,01
01109,"Pike County, AL",585.5,33024,01
01111,"Randolph County, AL",600.1,37067,01
01113,"Russell County, AL",775.1,39055,01
01115,"St. Clair County, AL",702.5,54639,01
01117,"Shelby County, AL",1049,73881,01
01119,"Sumter County, AL",560.1,19920,01
01121,"Talladega County, AL",641.2,37687,01
01123,"Tallapoosa County, AL",585.2,39161,01
01125,"Tuscaloosa County, AL",805.3,48794,01
01127,"Walker County, AL",601.2,36966,01
01129,"Washington County, AL",597.9,38904,01
01131,"Wilcox County, AL",513.5,24979,01
01133,"Winston County, AL",541.6,33415,01
02013,"Aleutians East Borough, AK",939,65105,02
02016,"Aleutians West Census Area, AK",1277,84009,02
02020,"Anchorage Municipality, AK",1427,83998,02
02050,"Bethel Census Area, AK",869.7,51989,02
02060,"Bristol Bay Borough, AK",1040,86904,02
02068,"Denali Borough, AK",933,80289,02
02070,"Dillingham Census Area, AK",858.5,54502,02
02090,"Fairbanks North Star Borough, AK",1223,73313,02
02100,"Haines Borough, AK",882,52463,02
02105,"Hoonah-Angoon Census Area, AK",784.1,53135,02
02110,"Juneau City and Borough, AK",1237,84669,02
02122,"Kenai Peninsula Borough, AK",991,65030,02
02130,"Ketchikan Gateway Borough, AK",1180,66697,02
02150,"Kodiak Island Borough, AK",1260,80072,02
02158,"Kusilvak Census Area, AK",,,02
02164,"Lake and Peninsula Borough, AK",743,43318,02
02170,"Matanuska-Susitna Borough, AK",1120,73423,02
02180,"Nome Census Area, AK",1071,52610,02
02185,"North Slope Borough, AK",1002,71548,02
02188,"Northwest Arctic Borough, AK",1061,60705,02
02195,"Petersburg Borough, AK",912,63143,02
02198,"Prince of Wales-Hyder Census Area, AK",816.5,51735,02
02220,"Sitka City and Borough, AK",1030,67538,02
02230,"Skagway Municipality, AK",1028,64045,02
02240,"Southeast Fairbanks Census Area, AK",1130,66949,02
02261,"Valdez-Cordova Census Area, AK",871.2,71701,02
02270,,,,02
02275,"Wrangell City and Borough, AK",759,52326,02
02282,"Yakutat City and Borough, AK",975,66042,02
02290,"Yukon-Koyukuk Census Area, AK",631.2,38089,02
04001,"Apache County, AZ",545.3,31072,04
04003,"Cochise County, AZ",839.3,46071,04
04005,"Coconino County, AZ",1006,50061,04
04007,"Gila County, AZ",748.5,39887,04
04009,"Graham County, AZ",768.9,46003,04
04011,"Greenlee County, AZ",523.6,50415,04
04012,"La Paz County, AZ",601.1,36325,04
04013,"Maricopa County, AZ",1163,60905,04
04015,"Mohave County, AZ",801,39877,04
04017,"Navajo County, AZ",652.9,35745,04
04019,"Pima County, AZ",955.2,49722,04
04021,"Pinal County, AZ",994.1,51005,04
04023,"Santa Cruz County, AZ",678.1,38243,04
04025,"Yavapai County, AZ",938.7,45950,04
04027,"Yuma County, AZ",856,43715,04
05001,"Arkansas County, AR",602,38606,05
05003,"Ashley County, AR",606,36299,05
05005,"Baxter County, AR",633.5,37287,05
05007,"Benton County, AR",862.9,59153,05
05009,"Boone County, AR",636.1,38302,05
05011,"Bradley County, AR",583.4,33433,05
05013,"Calhoun County, AR",672,36799,05
05015,"Carroll County, AR",569.8,37697,05
05017,"Chicot County, AR",614.4,30509,05
05019,"Clark County, AR",595.4,35826,05
05021,"Clay County, AR",534.9,31758,05
05023,"Cleburne County, AR",674.4,41055,05
05025,"Cleveland County, AR",656.4,42392,05
05027,"Columbia County, AR",624.2,38821,05
05029,"Conway County, AR",578.7,36712,05
05031,"Craighead County, AR",744.2,46843,05
05033,"Crawford County, AR",657.9,41432,05
05035,"Crittenden County, AR",744.2,43955,05
05037,"Cross County, AR",608.2,41158,05
05039,"Dallas County, AR",595.7,36002,05
05041,"Desha County, AR",561,27024,05
05043,"Drew County, AR",637.4,33546,05
05045,"Faulkner County, AR",770.1,52153,05
05047,"Franklin County, AR",579.6,39387,05
05049,"Fulton County, AR",482.7,35247,05
05051,"Garland County, AR",740,41184,05
05053,"Grant County, AR",702.3,47458,05
05055,"Greene County, AR",692.6,44758,05
05057,"Hempstead County, AR",568.1,33445,05
05059,"Hot Spring County, AR",685.5,44184,05
05061,"Howard County, AR",556.7,36162,05
05063,"Independence County, AR",564,38680,05
05065,"Izard County, AR",569.4,35940,05
05067,"Jackson County, AR",558.3,30671,05
05069,"Jefferson County, AR",693.4,37987,05
05071,"Johnson County, AR",595.8,33762,05
05073,"Lafayette County, AR",428.5,29497,05
05075,"Lawrence County, AR",516.5,33418,05
05077,"Lee County, AR",541.9,26099,05
05079,"Lincoln County, AR",548.4,31664,05
05081,"Little River County, AR",584.2,34791,05
05083,"Logan County, AR",603.9,36213,05
05085,"Lonoke County, AR",789,55635,05
05087,"Madison County, AR",599.8,39849,05
05089,"Marion County, AR",551.3,33881,05
05091,"Miller County, AR",687.3,39920,05
05093,"Mississippi County, AR",607.8,34855,05
05095,"Monroe County, AR",495.2,30737,05
05097,"Montgomery County, AR",547,34427,05
05099,"Nevada County, AR",659.8,28984,05
05101,"Newton County, AR",406,33313,05
05103,"Ouachita County, AR",550.4,31588,05
05105,"Perry County, AR",647.6,45656,05
05107,"Phillips County, AR",590.5,26183,05
05109,"Pike County, AR",496,34620,05
05111,"Poinsett County, AR",569.7,34841,05
05113,"Polk County, AR",531.6,33185,05
05115,"Pope County, AR",705.4,41375,05
05117,"Prairie County, AR",521.8,37375,05
05119,"Pulaski County, AR",815.2,50415,05
05121,"Randolph County, AR",512.7,36355,05
05123,"St. Francis County, AR",588.1,32626,05
05125,"Saline County, AR",848,58595,05
05127,"Scott County, AR",515,37035,05
05129,"Searcy County, AR",450.2,35517,05
05131,"Sebastian County, AR",649.8,41829,05
05133,"Sevier County, AR",521.4,37729,05
05135,"Sharp County, AR",567.4,31433,05
05137,"Stone County, AR",493.8,30313,05
05139,"Union County, AR",648.7,39641,05
05141,"Van Buren County, AR",600.3,34727,05
05143,"Washington County, AR",752.5,47426,05
05145,"White County, AR",679.9,42489,05
05147,"Woodruff County, AR",460.6,29885,05
05149,"Yell County, AR",575.8,39302,05
06001,"Alameda County, CA",1638,85868,06
06003,"Alpine County, CA",1109,61598,06
06005,"Amador County, CA",1117,57862,06
06007,"Butte County, CA",990.1,46184,06
06009,"Calaveras County, CA",1215,54249,06
06011,"Colusa County, CA",906.8,55448,06
06013,"Contra Costa County, CA",1753,92065,06
06015,"Del Norte County, CA",807.2,42824,06
06017,"El Dorado County, CA",1347,77317,06
06019,"Fresno County, CA",1008,48382,06
06021,"Glenn County, CA",758.5,41149,06
06023,"Humboldt County, CA",932.4,42832,06
06025,"Imperial County, CA",876,44801,06
06027,"Inyo County, CA",864.3,51605,06
06029,"Kern County, CA",1021,52226,06
06031,"Kings County, CA",936.1,49620,06
06033,"Lake County, CA",995.4,39498,06
06035,"Lassen County, CA",953.3,50757,06
06037,"Los Angeles County, CA",1419,62253,06
06039,"Madera County, CA",992.2,45750,06
06041,"Marin County, CA",1906,102890,06
06043,"Mariposa County, CA",810.3,51662,06
06045,"Mendocino County, CA",1001,44070,06
06047,"Merced County, CA",937.9,46158,06
06049,"Modoc County, CA",661.5,41282,06
06051,"Mono County, CA",1027,56437,06
06053,"Monterey County, CA",1362,62801,06
06055,"Napa County, CA",1572,76851,06
06057,"Nevada County, CA",1306,59735,06
06059,"Orange County, CA",1758,80814,06
06061,"Placer County, CA",1481,81251,06
06063,"Plumas County, CA",844.5,48689,06
06065,"Riverside County, CA",1415,61594,06
06067,"Sacramento County, CA",1206,61133,06
06069,"San Benito County, CA",1352,74710,06
06071,"San Bernardino County, CA",1304,57689,06
06073,"San Diego County, CA",1569,71210,06
06075,"San Francisco County, CA",1708,89532,06
06077,"San Joaquin County, CA",1220,57866,06
06079,"San Luis Obispo County, CA",1330,64019,06
06081,"San Mateo County, CA",1974,104639,06
06083,"Santa Barbara County, CA",1560,67979,06
06085,"Santa Clara County, CA",1957,104929,06
06087,"Santa Cruz County, CA",1537,70159,06
06089,"Shasta County, CA",1008,47687,06
06091,"Sierra County, CA",961,43436,06
06093,"Siskiyou County, CA",830.4,39998,06
06095,"Solano County, CA",1488,71650,06
06097,"Sonoma County, CA",1469,68475,06
06099,"Stanislaus County, CA",1058,52518,06
06101,"Sutter County, CA",1023,54922,06
06103,"Tehama County, CA",851,40744,06
06105,"Trinity County, CA",768.1,35257,06
06107,"Tulare County, CA",885.9,44133,06
06109,"Tuolumne County, CA",977.4,50800,06
06111,"Ventura County, CA",1770,81667,06
06113,"Yolo County, CA",1238,60101,06
06115,"Yuba County, CA",1036,49526,06
08001,"Adams County, CO",1235,63038,08
08003,"Alamosa County, CO",643.4,37040,08
08005,"Arapahoe County, CO",1330,74387,08
08007,"Archuleta County, CO",894.8,45228,08
08009,"Baca County, CO",506.5,37240,08
08011,"Bent County, CO",639,34340,08
08013,"Boulder County, CO",1354,76550,08
08014,"Broomfield County, CO",1585,87082,08
08015,"Chaffee County, CO",822.9,50510,08
08017,"Cheyenne County, CO",625,53698,08
08019,"Clear Creek County, CO",1099,69997,08
08021,"Conejos County, CO",527.9,36072,08
08023,"Costilla County, CO",450.7,25623,08
08025,"Crowley County, CO",659,31324,08
08027,"Custer County, CO",725,38124,08
08029,"Delta County, CO",805.5,41388,08
08031,"Denver County, CO",1124,60335,08
08033,"Dolores County, CO",693,31838,08
08035,"Douglas County, CO",1756,108334,08
08037,"Eagle County, CO",1354,81335,08
08039,"Elbert County, CO",1288,90567,08
08041,"El Paso County, CO",1162,66186,08
08043,"Fremont County, CO",775.1,43589,08
08045,"Garfield County, CO",1204,62501,08
08047,"Gilpin County, CO",1058,66702,08
08049,"Grand County, CO",971.7,65275,08
08051,"Gunnison County, CO",925.5,52296,08
08053,"Hinsdale County, CO",696,50611,08
08055,"Huerfano County, CO",718.3,33674,08
08057,"Jackson County, CO",704,44492,08
08059,"Jefferson County, CO",1273,76136,08
08061,"Kiowa County, CO",589,37907,08
08063,"Kit Carson County, CO",745,43628,08
08065,"Lake County, CO",857.5,47237,08
08067,"La Plata County, CO",1113,60761,08
08069,"Larimer County, CO",1110,63875,08
08071,"Las Animas County, CO",745.1,44147,08
08073,"Lincoln County, CO",764.7,39799,08
08075,"Logan County, CO",698.8,43723,08
08077,"Mesa County, CO",962.4,50943,08
08079,"Mineral County, CO",639,48513,08
08081,"Moffat County, CO",815.9,52283,08
08083,"Montezuma County, CO",746.6,42019,08
08085,"Montrose County, CO",826.2,44976,08
08087,"Morgan County, CO",727,48829,08
08089,"Otero County, CO",634.4,35145,08
08091,"Ouray County, CO",1088,62018,08
08093,"Park County, CO",1127,61134,08
08095,"Phillips County, CO",612.4,46157,08
08097,"Pitkin County, CO",1346,70388,08
08099,"Prowers County, CO",624,41004,08
08101,"Pueblo County, CO",904.3,45487,08
08103,"Rio Blanco County, CO",760.5,54275,08
08105,"Rio Grande County, CO",620.2,41077,08
08107,"Routt County, CO",1173,65006,08
08109,"Saguache County, CO",621.8,32926,08
08111,"San Juan County, CO",1069,40736,08
08113,"San Miguel County, CO",1207,57579,08
08115,"Sedgwick County, CO",579,46392,08
08117,"Summit County, CO",1271,67739,08
08119,"Teller County, CO",1091,65903,08
08121,"Washington County, CO",622.5,45603,08
08123,"Weld County, CO",1068,64009,08
08125,"Yuma County, CO",640.1,42003,08
09001,"Fairfield County, CT",1661,102828,09
