store_id,total_sales,unique_customers,product_diversity,fuel_transactions,total_transactions,fuel_share,chain_size,store_name,store_chain_id,store_chain_name,street_address,city,zip_code,latitude,longitude,log_customers,log_sales,log_products,log_chain_size,cluster,subcategory,purchase_count
56,1278.167318,7,4,31,32,0.96875,1,tri carnes service,42,tri carnes service,103 S Main St,Caldwell,43724,39.7866688,-81.5511875,2.0794415416798357,7.153964612412881,1.6094379124341003,0.6931471805599453,2,Premium/Super Premium,317
57,201.881096,1,2,5,5,1,2,buds one stop mcarthur,30,Bud 1 stop,101 W Main St,McArthur,45651,39.2469615,-82.4793581,0.6931471805599453,5.312620073442472,1.0986122886681098,1.0986122886681098,1,Premium/Super Premium,14
95,5012.031535,22,12,92,96,0.9583333333333334,3,Road Trip Oasis,69,Markham Enterprises,3034 W Lansing Rd,Perry,48872,42.8369088,-84.2184502,3.1354942159291497,8.519796107888043,2.5649493574615367,1.3862943611198906,2,Premium/Super Premium,317
96,30.365090999999996,1,1,1,1,1,3,Outlet Oasis,69,Markham Enterprises,1360 N Burkhart Rd,Howell,48855,42.6189854,-83.9912901,0.6931471805599453,3.4456955228676285,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
102,28.948373999999998,2,2,1,2,0.5,2,conneaut clark,73,conneaut clark,220 State St,Conneaut,44030,41.9444772,-80.5543051,1.0986122886681098,3.3994750326035366,1.0986122886681098,1.0986122886681098,4,Cigars,45
107,8.57,1,4,0,1,0,1,5K carryout,98,5K Carryout,1790 E Melrose Ave,Findlay,45840,41.0661309,-83.6180893,0.6931471805599453,2.258633205464863,1.6094379124341003,0.6931471805599453,4,Cigars,45
108,2526.930863,9,9,50,55,0.9090909090909091,2,Montrose Express,99,Montrose Express,254 W State St,Montrose,48457,43.1766422,-83.8988408,2.302585092994046,7.835156406395936,2.302585092994046,1.0986122886681098,2,Premium/Super Premium,317
113,343.049629,2,2,5,5,1,1,Melvin super Stop LLC,104,Melvin Super Stop,9263 AL-79,Pinson,35126,33.8031862,-86.681518,1.0986122886681098,5.8407859173162695,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
125,2.49,1,1,0,1,0,1,Livingston Shell,110,Livingston Shell,1937 E Livingston Ave,Columbus,43209,39.9482544,-82.9456185,0.6931471805599453,1.2499017362143359,0.6931471805599453,0.6931471805599453,4,Cigars,45
159,120.19223,5,5,2,5,0.4,1,Gasway,134,BEDFORD GASWAY,1483 Broadway Ave,Bedford,44146,41.3731512,-81.516075,1.791759469228055,4.797377962669259,1.791759469228055,0.6931471805599453,2,Premium/Super Premium,317
190,5.68,1,2,0,1,0,3,600Shell,153,North Shell Inc.,600 N Main St,Piqua,45356,40.1520622,-84.2399809,0.6931471805599453,1.8991179875485542,1.0986122886681098,1.3862943611198906,4,Cigars,45
192,313.482754,3,10,23,21,1.0952380952380953,3,Piqua Marathon,153,North Shell Inc.,315 Looney Rd,Piqua,45356,40.1505797,-84.2162522,1.3862943611198906,5.75092923838892,2.3978952727983707,1.3862943611198906,2,Premium/Super Premium,317
193,385.563983,3,1,6,6,1,2,smk convenience llc,155,smk convenience llc,2384 Memorial Hwy,Dallas,18612,41.3312495,-75.9532866,1.3862943611198906,5.957297398957783,0.6931471805599453,1.0986122886681098,1,Premium/Super Premium,14
194,763.151278,5,18,14,20,0.7,1,Quick One Stop,156,Quick One Stop,35595 US-35,Chillicothe,45601,39.1965605,-82.8068927,1.791759469228055,6.638765777418956,2.9444389791664403,0.6931471805599453,2,Premium/Super Premium,317
208,705.048564,3,2,15,15,1,2,express food mart,174,EXPRESS FOOD MART,58 E Chestnut St,Mifflinburg,17844,40.9213599,-77.0378935,1.3862943611198906,6.559684022662899,1.0986122886681098,1.0986122886681098,2,Premium/Super Premium,317
221,113.416457,1,1,2,2,1,2,dixie stop,182,dixie stop,8811 N Dixie Dr,Dayton,45414,39.8592233,-84.1996826,0.6931471805599453,4.73984492349468,0.6931471805599453,1.0986122886681098,1,Premium/Super Premium,14
225,1294.169238,5,9,28,31,0.9032258064516129,3,Bentleyville sunoco,184,jeet ent inc,800 Main St,Bentleyville,15314,40.118638,-80.0071147,1.791759469228055,7.16639665130929,2.302585092994046,1.3862943611198906,2,Premium/Super Premium,317
302,191.995419,1,1,2,2,1,3,CS #2,204,CS Convenience Store,2 Hanover St,Spring Grove,17362,39.8167567,-76.8418925,0.6931471805599453,5.262666452871893,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
303,74.99852299999999,1,1,1,1,1,3,CS #1,204,CS Convenience Store,8144 Blooming Grove Rd,Glen Rock,17327,39.7589219,-76.8157688,0.6931471805599453,4.330713905886958,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
348,13905.028504,1,2,458,458,1,1,DENVILLE MART/BP,243,Denville Mart,42 E Main St,Denville,07834,40.8911707,-74.4774969,0.6931471805599453,9.540077730419554,1.0986122886681098,0.6931471805599453,2,Premium/Super Premium,317
353,444.50782300000003,2,6,8,10,0.8,1,E Z Mart,247,"Ware Mart, Inc.",1422 Blair Rd,Harpers Ferry,25425,39.3074813,-77.7997051,1.0986122886681098,6.099214806801582,1.9459101490553132,0.6931471805599453,2,Premium/Super Premium,317
359,23.568929999999998,1,1,1,1,1,3,Schoenersville,252,Taylor Family Inc,2130 Schoenersville Rd,Bethlehem,18018,40.6391011,-75.3978206,0.6931471805599453,3.2014826365412516,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
366,9.500205,1,1,1,1,1,3,Arya Express,151,Jaydolamaa inc,1200 S Cedar Ave,South Pittsburg,37380,35.000234,-85.7141125,0.6931471805599453,2.3513947807824143,0.6931471805599453,1.3862943611198906,1,Premium/Super Premium,14
368,76.23957,1,1,1,1,1,6,PENNS CREEK PIT STOP LLC,266,pitstop,109 Centerville St,Penns Creek,17862,40.8628816,-77.0523762,0.6931471805599453,4.34691189048112,0.6931471805599453,1.9459101490553132,1,Premium/Super Premium,14
370,147.90988800000002,2,1,4,4,1,6,B B MART LLC,266,pitstop,43 S Delaware Ave,Minersville,17954,40.6894901,-76.2571674,1.0986122886681098,5.00334134446967,0.6931471805599453,1.9459101490553132,1,Premium/Super Premium,14
375,42.726275,2,3,1,2,0.5,5,Finnway Express 507,267,Finnway 501,1477 West 3rd St,Luverne,36049,31.7163036,-86.2686552,1.0986122886681098,3.777949179999261,1.3862943611198906,1.791759469228055,4,Cigars,45
386,41.24,2,4,0,2,0,2,Cost U Less,255,Jsrh Inc,7948 CA-99,Los Molinos,96055,40.0268256,-122.0994553,1.0986122886681098,3.743367639398006,1.6094379124341003,1.0986122886681098,4,Cigars,45
398,103.97889200000002,1,1,2,1,2,1,EXPREZIT,281,MINESAHA INC,7729 HWY 70 EAST,Webb,36376,31.2556624,-85.2618987,0.6931471805599453,4.653759301377144,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
