invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,date,time,payment,cogs,rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,1/5/2019,13:08:00,Ewallet,523.9926852897838,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3/8/2019,10:29:00,Cash,75.81407553410695,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,3/3/2019,13:23:00,Credit card,326.09546500331663,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,1/27/2019,20:33:00,Ewallet,464.427406289515,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,2/8/2019,10:37:00,Ewallet,603.7234332334467,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,3/25/2019,18:30:00,Ewallet,598.2996061223749,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,2/25/2019,14:36:00,Ewallet,410.1502823855859,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,2/24/2019,11:38:00,Ewallet,734.7309816566735,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,1/10/2019,17:15:00,Credit card,72.05829731685036,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,2/20/2019,13:27:00,Credit card,163.96445908986257,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2/6/2019,18:07:00,Ewallet,57.899864632148415,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,3/9/2019,17:03:00,Cash,101.88961777586394,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,2/12/2019,10:25:00,Ewallet,234.12187324415603,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,2/7/2019,16:48:00,Ewallet,433.2232208519328,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,3/29/2019,19:21:00,Cash,712.2786494299879,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,1/15/2019,16:19:00,Cash,561.8825721311433,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,3/11/2019,11:03:00,Credit card,483.48057757954336,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,1/1/2019,10:39:00,Credit card,435.6882226444248,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,1/21/2019,18:00:00,Credit card,163.92421781134723,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,3/11/2019,15:30:00,Ewallet,80.98921440498493,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,2/25/2019,11:24:00,Ewallet,430.4366873677129,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,3/5/2019,10:40:00,Ewallet,263.7955597733059,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3/15/2019,12:20:00,Credit card,67.12222970080614,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,2/17/2019,11:15:00,Ewallet,173.1699068574102,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,3/2/2019,17:36:00,Ewallet,265.6479336855182,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,3/22/2019,19:20:00,Credit card,419.2479366815795,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,2/8/2019,15:31:00,Cash,32.92384045423431,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,3/10/2019,12:17:00,Credit card,174.1932998687814,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,1/25/2019,19:48:00,Cash,439.3253635669412,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,3/15/2019,15:36:00,Cash,223.39649142158973,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,2/25/2019,19:39:00,Credit card,470.43368848596185,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,1/28/2019,12:43:00,Cash,704.2201457684866,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,1/10/2019,14:49:00,Cash,671.796143275652,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,3/15/2019,10:12:00,Credit card,194.26845089348356,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,2/6/2019,10:42:00,Ewallet,396.5826581551152,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,1/7/2019,12:28:00,Ewallet,66.25939428362246,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,3/10/2019,19:15:00,Ewallet,312.1864211520228,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,1/15/2019,17:17:00,Ewallet,549.1655689119871,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,3/23/2019,13:24:00,Ewallet,439.4478547183607,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,3/3/2019,13:01:00,Cash,241.38348189505027,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,1/17/2019,18:45:00,Ewallet,85.90151698343134,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,2/2/2019,10:11:00,Cash,110.67743216292622,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,2/8/2019,13:03:00,Cash,415.27588214573166,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,3/4/2019,20:39:00,Cash,789.2309710294935,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,3/16/2019,19:47:00,Cash,29.69266171996388,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,3/9/2019,18:00:00,Cash,375.8581799162475,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,2/27/2019,17:24:00,Credit card,511.09187750575614,8.4
